UniqueID	UniqueID2	ID_Name	BamFileName	NCBI_ID	SampleID	Species	Categorize	PINO.
BYU1001	BYU11001	B11DIV002	DIV_002	SRX3411981	DIV002	AD1	Cultivar	PI528816
BYU1002	BYU11002	B11DIV007	DIV007	SRX3411885	DIV007	AD1	Cultivar	PI529243
BYU1003	BYU11003	B11DIV012	DIV_012	SRX3411982	DIV012	AD1	Cultivar	PI529169
BYU1004	BYU11004	B11DIV030	DIV_030	SRX3411986	DIV030	AD1	Cultivar	PI528931
BYU1005	BYU11005	B11DIV033	DIV_033	SRX3411985	DIV033	AD1	Cultivar	PI528927
BYU1006	BYU11006	B11DIV034	DIV_034	SRX3411979	DIV034	AD1	Cultivar	PI529318
BYU1007	BYU11007	B11DIV037	Div037	SRX3411987	DIV037	AD1	Cultivar	PI528427
BYU1008	BYU11008	B11DIV040	DIV_040	SRX3411980	DIV040	AD1	Cultivar	PI528912
BYU1009	BYU11009	B11DIV042	DIV_042	SRX3411977	DIV042	AD1	Cultivar	PI595852
BYU1010	BYU11010	B11DIV046	DIV_046	SRX3411978	DIV046	AD1	Cultivar	PI415201
BYU1011	BYU11011	B11DIV048	DIV_048	SRX3411988	DIV048	AD1	Cultivar	PI529202
BYU1012	BYU11012	B11DIV055	DIV_055	SRX3411989	DIV055	AD1	Cultivar	PI529463
BYU1013	BYU11013	B11DIV058	DIV058	SRX3411990	DIV058	AD1	Cultivar	PI529322
BYU1014	BYU11014	B11DIV059	DIV_059	SRX3411975	DIV059	AD1	Cultivar	PI529323
BYU1015	BYU11015	B11DIV063	DIV_063	SRX3411976	DIV063	AD1	Cultivar	PI603002
BYU1016	BYU11016	B11DIV066	DIV_066	SRX3411983	DIV066	AD1	Cultivar	PI603005
BYU1017	BYU11017	B11DIV074	DIV_074	SRX3411991	DIV074	AD1	Cultivar	PI528612
BYU1018	BYU11018	B11DIV079	DIV_079	SRX3411984	DIV079	AD1	Cultivar	PI529247
BYU1019	BYU11019	B11DIV096	DIV_096	SRX3411923	DIV096	AD1	Cultivar	PI513392
BYU1020	BYU11020	B11DIV106	DIV_106	SRX3411877	DIV106	AD1	Cultivar	PI528970
BYU1021	BYU11021	B11DIV119	DIV119	SRX3411992	DIV119	AD1	Cultivar	PI600905
BYU1022	BYU11022	B11DIV134	DIV_134	SRX3411924	DIV134	AD1	Cultivar	PI529570
BYU1023	BYU11023	B11DIV136	DIV_136	SRX3411925	DIV136	AD1	Cultivar	PI529179
BYU1024	BYU11024	B11DIV138	DIV-138	SRX3411993	DIV138	AD1	Cultivar	PI529224
BYU1025	BYU11025	B11DIV141	DIV_141	SRX3411926	DIV141	AD1	Cultivar	PI528977
BYU1026	BYU11026	B11DIV144	DIV_144	SRX3411919	DIV144	AD1	Cultivar	PI529572
BYU1027	BYU11027	B11DIV169	DIV_169	SRX3411920	DIV169	AD1	Cultivar	PI600741
BYU1028	BYU11028	B11DIV176	DIV_176	SRX3411921	DIV176	AD1	Cultivar	PI578226
BYU1029	BYU11029	B11DIV178	DIV_178	SRX3411922	DIV178	AD1	Cultivar	PI528964
BYU1030	BYU11030	B11DIV184	DIV_184	SRX3411917	DIV184	AD1	Cultivar	PI528635
BYU1031	BYU11031	B11DIV195	DIV_195	SRX3411918	DIV195	AD1	Cultivar	PI572268
BYU1032	BYU11032	B11DIV199	DIV-199	SRX3411994	DIV199	AD1	Cultivar	PI601392
BYU1033	BYU11033	B11DIV206	DIV_206	SRX3412010	DIV206	AD1	Cultivar	PI603004
BYU1034	BYU11034	B11DIV209	DIV_209	SRX3412009	DIV209	AD1	Cultivar	PI529086
BYU1035	BYU11035	B11DIV211	DIV_211	SRX3412012	DIV211	AD1	Cultivar	PI528560
BYU1036	BYU11036	B11DIV213	DIV-213	SRX3412050	DIV213	AD1	Cultivar	PI529123
